Date,Open,High,Low,Close,Adj Close,Volume
3/5/21,8.08,8.27,7.63,8.05,8.05,59734100
3/8/21,8.53,9.48,8.31,9.29,9.29,114343800
3/9/21,9.38,10.77,9.22,10.5,10.5,150415600
3/10/21,11.02,12.47,9.51,9.85,9.85,261918600
3/11/21,10.65,10.87,9.9,10.28,10.28,83933600
3/12/21,10.16,11.4,9.94,11.16,11.16,111146700
3/15/21,12.18,14.49,11.85,14.04,14.04,277713300
3/16/21,13.62,13.62,12.34,13.02,13.02,125967600
3/17/21,13.24,13.66,13,13.56,13.56,78053600
3/18/21,14.34,14.54,13.57,14,14,121418000
3/19/21,14.14,14.18,13.28,13.93,13.93,153206000
3/22/21,13.15,13.19,11.76,12.49,12.49,88760100
3/23/21,11.46,11.93,10.37,10.66,10.66,87923200
3/24/21,10.82,11.21,8.93,9.02,9.02,81850700
3/25/21,8.96,11.32,8.95,10.94,10.94,131192800
3/26/21,11.27,11.53,10.01,10.24,10.24,84633100
3/29/21,10.32,10.76,10.09,10.35,10.35,37330700
3/30/21,10.31,10.52,9.76,10.35,10.35,39020500
3/31/21,10.4,10.47,10.05,10.21,10.21,29832300
4/1/21,10.23,10.26,9.15,9.36,9.36,77473900
4/5/21,10.1,11.25,9.72,10.61,10.61,96082300
4/6/21,10.4,10.5,10,10.2,10.2,44067000
4/7/21,10.07,10.18,9.85,9.85,9.85,28804300
4/8/21,10.01,10.01,9.5,9.79,9.79,33408700
4/9/21,9.6,9.74,9.24,9.42,9.42,29254600
4/12/21,9.44,9.49,8.51,8.62,8.62,51269800
4/13/21,8.66,9.12,8.31,8.84,8.84,44049100
4/14/21,9,9.81,8.9,9.35,9.35,51166300
4/15/21,9.88,10.23,9.58,9.9,9.9,45198900
4/16/21,10,10.03,9.09,9.33,9.33,40696700
4/19/21,9.48,9.81,9.38,9.66,9.66,32814300
4/20/21,9.7,9.71,9.01,9.28,9.28,27008900
4/21/21,9.25,9.81,9.14,9.78,9.78,23598200
4/22/21,9.95,10.65,9.79,9.99,9.99,49923500
4/23/21,10.09,10.38,9.96,10.16,10.16,27465600
4/26/21,10.69,11.96,10.57,11.5,11.5,78592900
4/27/21,11.68,12.22,11.22,11.46,11.46,51629800
4/28/21,10.85,11.39,10.65,10.85,10.85,39720500
4/29/21,10.95,11.04,10.09,10.2,10.2,37782900
4/30/21,10.07,10.18,9.88,10.03,10.03,27741000
5/3/21,10.11,10.12,9.61,9.71,9.71,31251200
5/4/21,9.63,9.75,9.05,9.39,9.39,35222400
5/5/21,9.41,9.57,9.08,9.17,9.17,27608700
5/6/21,9.33,9.4,8.93,9,9,39586300
5/7/21,9.32,9.79,9.14,9.51,9.51,38245000
5/10/21,9.9,10.15,9.56,9.74,9.74,41015300
5/11/21,9.93,10.48,9.6,10.05,10.05,49601000
5/12/21,10.03,10.63,10.02,10.32,10.32,54423500
5/13/21,10.88,14.2,10.64,12.77,12.77,296525000
5/14/21,13.31,14.34,12.57,12.98,12.98,207589900
5/17/21,13.67,14.38,13.39,13.95,13.95,158933100
5/18/21,14.25,14.67,13.57,14.03,14.03,172488400
5/19/21,12.95,13.31,12.14,12.64,12.64,89024100
5/20/21,12.59,12.99,12.03,12.55,12.55,61419700
5/21/21,12.61,12.84,12.05,12.08,12.08,53937700
5/24/21,12.38,13.96,12.17,13.68,13.68,113319200
5/25/21,13.61,16.67,13.55,16.41,16.41,213644100
5/26/21,17.76,19.950001,17.26,19.559999,19.559999,379064100
5/27/21,18.610001,29.76,18.309999,26.52,26.52,705545700
5/28/21,31.809999,36.720001,24.17,26.120001,26.120001,660623600
6/1/21,31.889999,33.529999,28.530001,32.040001,32.040001,508694600
6/2/21,37.52,72.620003,35.59,62.549999,62.549999,766462500
6/3/21,58.099998,68.800003,37.66,51.34,51.34,598142200
6/4/21,48.790001,57.48,46.040001,47.91,47.91,337710100
6/7/21,52.380001,59.68,51.5,55,55,349094900
6/8/21,57.16,60.619999,52.77,55.049999,55.049999,214490300
6/9/21,52.200001,53.389999,48.119999,49.34,49.34,150361300
6/10/21,47.93,51.5,39.709999,42.810001,42.810001,224860600
6/11/21,44.68,49.599998,42.009998,49.400002,49.400002,218006600
6/14/21,51.830002,60.549999,51.52,57,57,301467300
6/15/21,58.389999,64.709999,56.73,59.040001,59.040001,285582100
6/16/21,56.139999,57.34,51.860001,55.18,55.18,166450700
6/17/21,54,63.830002,52.98,60.73,60.73,303576000
6/18/21,61.259998,64.959999,56.849998,59.259998,59.259998,243645900
6/21/21,61.34,63.009998,53.43,55.689999,55.689999,185876100
6/22/21,54.099998,58.740002,51.049999,58.27,58.27,169494100
6/23/21,57.040001,61.099998,56.799999,58.299999,58.299999,116291800
6/24/21,57.98,58.759998,55.66,56.700001,56.700001,80351200
6/25/21,55.75,56.290001,52.970001,54.060001,54.060001,77596900
6/28/21,55.099998,59.360001,54.330002,58.110001,58.110001,99310200
6/29/21,59.060001,61,56.18,56.43,56.43,63604100
6/30/21,56,58.18,54.650002,56.68,56.68,59020600
7/1/21,56.860001,57.709999,52.529999,54.220001,54.220001,57549900
7/2/21,52.77,53.25,47.77,51.959999,51.959999,90271500
7/6/21,53.459999,55.07,49.700001,49.959999,49.959999,62370300
7/7/21,47.700001,48.990002,42.799999,45.07,45.07,95320200
7/8/21,40.950001,49.790001,38.759998,47.939999,47.939999,145078200
7/9/21,48.369999,48.919998,45.82,46.189999,46.189999,57858600
7/12/21,44.290001,46.549999,42.07,42.610001,42.610001,62986400
7/13/21,40.57,42.139999,38.700001,39.349998,39.349998,86807300
7/14/21,38.799999,39.130001,33.240002,33.43,33.43,137830700
7/15/21,32.200001,37.400002,32.139999,36,36,199584500
7/16/21,37.830002,38.549999,34.299999,34.959999,34.959999,126825700
7/19/21,32.950001,35.34,31.15,34.619999,34.619999,112891300
7/20/21,35.139999,44.389999,35.130001,43.09,43.09,168673400
7/21/21,41.799999,46.549999,40.110001,40.779999,40.779999,158023700
7/22/21,40.16,41.740002,37.150002,37.240002,37.240002,93985900
7/23/21,37.779999,38.400002,34.689999,36.990002,36.990002,85474800
7/26/21,38.32,40.849998,37.57,40.290001,40.290001,97977600
7/27/21,39.990002,40.299999,37.060001,38.009998,38.009998,55288900
7/28/21,37.41,39.560001,36.080002,38.900002,38.900002,71021400
7/29/21,38,40.25,37.470001,38.130001,38.130001,59446200
7/30/21,37.540001,39.189999,36.790001,37.02,37.02,52996200
8/2/21,37.580002,38.48,35.009998,35.200001,35.200001,59061700
8/3/21,35.16,35.209999,32.779999,33.59,33.59,61740100
8/4/21,34.43,35.240002,29.809999,29.84,29.84,85496600
8/5/21,31.08,34.119999,28.91,33.509998,33.509998,108565100
